
--- 🚀 新扫描启动: 08-25 17:53 ---
[17:53:30] 881121 半导体 | 日K[➖ 0] | 周K[➖ 56.4] | 月K[➖ 0]
[17:58:06] 881101 种植业与林业 | 日K[➖ 0] | 周K[➖ 41.6] | 月K[➖ 3.6]
[17:58:11] 886056 阿尔茨海默概念 | 日K[🔥 0] | 周K[➖ 0] | 月K[➖ 0]
[17:58:12] 886071 AI PC | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[17:58:13] 886070 AI手机 | 日K[➖ 35.2] | 周K[➖ 28.0] | 月K[➖ 0]
[17:58:14] 886074 AI语料 | 日K[➖ 11.2] | 周K[➖ 34.0] | 月K[➖ 0]
[17:58:18] 885611 阿里巴巴概念 | 日K[➖ 0] | 周K[➖ 38.0] | 月K[➖ 0]
[17:58:23] 885423 安防 | 日K[➖ 0] | 周K[➖ 12.0] | 月K[➖ 0]
[17:58:24] 885525 白酒概念 | 日K[➖ 0] | 周K[➖ 69.2] | 月K[➖ 0]
[17:58:25] 886053 BC电池 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[17:58:26] 885797 百度概念 | 日K[➖ 3.6] | 周K[➖ 38.8] | 月K[➖ 0]
[17:58:30] 885829 丙烯酸 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[17:58:35] 885825 冰雪产业 | 日K[➖ 0] | 周K[➖ 71.2] | 月K[➖ 0]
[17:58:36] 885997 比亚迪概念 | 日K[➖ 0] | 周K[➖ 50.0] | 月K[➖ 0]
[17:58:37] 885623 参股保险 | 日K[➖ 0] | 周K[➖ 26.4] | 月K[➖ 0]
[17:58:38] 885789 宁德时代概念 | 日K[➖ 0] | 周K[➖ 1.6] | 月K[➖ 0]
[17:58:43] 885620 参股券商 | 日K[➖ 0] | 周K[➖ 21.6] | 月K[➖ 0]
[17:58:48] 885640 草甘膦 | 日K[➖ 0] | 周K[➖ 72.4] | 月K[➖ 9.6]
[17:58:48] 885835 参股银行 | 日K[➖ 0] | 周K[➖ 81.2] | 月K[➖ 0]
[17:58:49] 886061 长安汽车概念 | 日K[➖ 0] | 周K[➖ 67.2] | 月K[➖ 0]
[17:58:50] 885832 长三角一体化 | 日K[➖ 0] | 周K[➖ 56.0] | 月K[➖ 0]
[17:58:55] 885996 超超临界发电 | 日K[➖ 6.8] | 周K[➖ 0] | 月K[➖ 0]
[17:59:01] 885886 超级电容 | 日K[➖ 15.6] | 周K[➖ 0] | 月K[➖ 0]
[17:59:01] 886038 超导概念 | 日K[➖ 6.0] | 周K[➖ 0] | 月K[➖ 0]
[17:59:01] 885761 超级品牌 | 日K[➖ 0] | 周K[➖ 36.4] | 月K[➖ 30.8]
[17:59:03] 885662 车联网(车路协同) | 日K[➖ 0] | 周K[➖ 57.2] | 月K[➖ 0]
[17:59:07] 886030 成飞概念 | 日K[➖ 0] | 周K[➖ 68.0] | 月K[➖ 0]
[17:59:12] 885461 充电桩 | 日K[➖ 0] | 周K[➖ 64.8] | 月K[➖ 0]
[17:59:13] 886012 宠物经济 | 日K[➖ 0] | 周K[➖ 66.4] | 月K[➖ 0]
[17:59:14] 885955 重组蛋白 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[17:59:16] 885935 抽水蓄能 | 日K[➖ 35.2] | 周K[➖ 0] | 月K[🔥 0]
[17:59:19] 885946 传感器 | 日K[➖ 0] | 周K[➖ 40.8] | 月K[➖ 0]
[17:59:24] 885413 创投 | 日K[➖ 0] | 周K[➖ 50.4] | 月K[➖ 0]
[17:59:25] 886015 创新药 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[17:59:26] 885921 储能 | 日K[➖ 0] | 周K[➖ 62.4] | 月K[➖ 0]
[17:59:28] 886042 存储芯片 | 日K[➖ 15.2] | 周K[➖ 0] | 月K[➖ 0]
[17:59:31] 885810 大豆 | 日K[➖ 0] | 周K[➖ 53.6] | 月K[➖ 28.0]
[17:59:36] 885566 大飞机 | 日K[➖ 13.2] | 周K[➖ 45.6] | 月K[➖ 0]
[17:59:37] 885904 代糖概念 | 日K[➖ 7.2] | 周K[➖ 56.0] | 月K[➖ 0]
[17:59:38] 885893 国家大基金持股 | 日K[🔥 33.6] | 周K[➖ 0] | 月K[➖ 0]
[17:59:40] 885710 锂电池概念 | 日K[➖ 0] | 周K[➖ 57.6] | 月K[➖ 0]
[17:59:43] 885737 电子竞技 | 日K[➖ 32.8] | 周K[➖ 35.2] | 月K[➖ 4.0]
[17:59:48] 885975 电子身份证 | 日K[➖ 0] | 周K[➖ 78.4] | 月K[➖ 0]
[17:59:49] 886067 低空经济 | 日K[➖ 0] | 周K[➖ 70.0] | 月K[➖ 0]
[17:59:50] 885908 第三代半导体 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[17:59:52] 885692 地下管网 | 日K[➖ 0] | 周K[➖ 79.6] | 月K[➖ 0]
[17:59:55] 885819 电力物联网 | 日K[➖ 0] | 周K[➖ 34.8] | 月K[➖ 0]
[18:00:01] 885944 动力电池回收 | 日K[➖ 0.8] | 周K[➖ 70.4] | 月K[➖ 0]
[18:00:01] 885957 东数西算(算力) | 日K[➖ 0] | 周K[➖ 41.6] | 月K[➖ 0]
[18:00:02] 885846 动物疫苗 | 日K[➖ 0] | 周K[➖ 6.8] | 月K[➖ 22.8]
[18:00:04] 885890 抖音概念(字节概念) | 日K[➖ 0] | 周K[➖ 26.0] | 月K[➖ 0]
[18:00:08] 886060 短剧游戏 | 日K[➖ 34.0] | 周K[➖ 41.6] | 月K[➖ 0]
[18:00:12] 885787 独角兽概念 | 日K[➖ 0] | 周K[➖ 49.6] | 月K[➖ 0]
[18:00:13] 886062 多模态AI | 日K[➖ 0] | 周K[➖ 36.4] | 月K[➖ 0]
[18:00:15] 885953 电子纸 | 日K[➖ 0.4] | 周K[➖ 57.2] | 月K[➖ 0]
[18:00:17] 885943 EDR概念 | 日K[➖ 0] | 周K[➖ 48.0] | 月K[➖ 0]
[18:00:20] 886039 ERP概念 | 日K[➖ 0] | 周K[➖ 89.2] | 月K[➖ 0]
[18:00:24] 885540 三胎概念 | 日K[➖ 0] | 周K[➖ 62.4] | 月K[➖ 0]
[18:00:25] 885861 ETC | 日K[➖ 3.6] | 周K[➖ 53.6] | 月K[➖ 0]
[18:00:27] 885964 俄乌冲突概念 | 日K[➖ 0] | 周K[➖ 85.6] | 月K[➖ 0]
[18:00:29] 885998 F5G概念 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:00:32] 885856 仿制药一致性评价 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:00:36] 886003 钒电池 | 日K[➖ 2.8] | 周K[➖ 61.2] | 月K[➖ 0]
[18:00:37] 886066 飞行汽车(eVTOL) | 日K[➖ 0] | 周K[➖ 72.0] | 月K[➖ 0]
[18:00:39] 885641 风电 | 日K[➖ 2.8] | 周K[➖ 53.2] | 月K[➖ 0]
[18:00:41] 885805 芬太尼 | 日K[➖ 0] | 周K[➖ 34.8] | 月K[➖ 0]
[18:00:44] 885551 氟化工概念 | 日K[🔥 5.6] | 周K[➖ 0] | 月K[➖ 0]
[18:00:48] 885617 福建自贸区 | 日K[➖ 0] | 周K[➖ 64.4] | 月K[➖ 0]
[18:00:49] 885786 富士康概念 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:00:51] 885909 辅助生殖 | 日K[➖ 0] | 周K[➖ 5.2] | 月K[➖ 0]
[18:00:53] 886006 钙钛矿电池 | 日K[➖ 0] | 周K[➖ 5.6] | 月K[➖ 0]
[18:00:56] 885989 肝炎概念 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:01:00] 885427 高端装备 | 日K[➖ 0] | 周K[➖ 53.6] | 月K[➖ 0]
[18:01:04] 885562 高铁 | 日K[➖ 0] | 周K[➖ 70.8] | 月K[➖ 0]
[18:01:05] 886001 高压快充 | 日K[➖ 0] | 周K[➖ 60.8] | 月K[➖ 0]
[18:01:10] 886018 高压氧舱 | 日K[➖ 0] | 周K[➖ 69.2] | 月K[➖ 0]
[18:01:11] 886033 共封装光学(CPO) | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:01:13] 885924 共同富裕示范区 | 日K[➖ 0] | 周K[➖ 63.6] | 月K[➖ 0]
[18:01:16] 885818 工业大麻 | 日K[➖ 0] | 周K[➖ 78.4] | 月K[➖ 0]
[18:01:17] 885783 工业互联网 | 日K[➖ 0] | 周K[➖ 50.8] | 月K[➖ 0]
[18:01:22] 885930 工业母机 | 日K[➖ 0] | 周K[➖ 44.0] | 月K[➖ 0]
[18:01:24] 885739 股权转让(并购重组) | 日K[➖ 0] | 周K[➖ 64.4] | 月K[➖ 0]
[18:01:25] 885734 广东自贸区 | 日K[➖ 0] | 周K[➖ 57.2] | 月K[➖ 0]
[18:01:28] 885531 光伏概念 | 日K[➖ 0] | 周K[➖ 52.4] | 月K[➖ 0]
[18:01:29] 886054 光刻机 | 日K[➖ 0.4] | 周K[➖ 0] | 月K[➖ 0]
[18:01:34] 885864 光刻胶 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:01:37] 885410 固废处理 | 日K[➖ 0] | 周K[➖ 78.0] | 月K[➖ 0]
[18:01:40] 885958 硅能源 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:01:41] 885844 国产操作系统 | 日K[➖ 0] | 周K[➖ 64.0] | 月K[➖ 0]
[18:01:46] 885700 军工 | 日K[➖ 0] | 周K[➖ 46.4] | 月K[➖ 0]
[18:01:49] 886021 国企改革 | 日K[➖ 0] | 周K[➖ 74.4] | 月K[➖ 0]
[18:01:49] 885977 国资云 | 日K[➖ 0] | 周K[➖ 17.6] | 月K[➖ 0]
[18:01:54] 886032 固态电池 | 日K[➖ 0] | 周K[➖ 4.8] | 月K[➖ 4.8]
[18:01:55] 885865 金属钴 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:02:02] 885747 共享单车 | 日K[➖ 6.4] | 周K[➖ 72.4] | 月K[➖ 0]
[18:02:09] 885426 海工装备 | 日K[➖ 0] | 周K[➖ 58.4] | 月K[➖ 0]
[18:02:12] 885894 海南自贸区 | 日K[➖ 0] | 周K[➖ 84.4] | 月K[➖ 7.2]
[18:02:16] 885884 航空发动机 | 日K[🔥 0] | 周K[➖ 15.6] | 月K[➖ 0]
[18:02:21] 885733 航运概念 | 日K[➖ 0] | 周K[➖ 15.2] | 月K[➖ 0]
[18:02:23] 886035 毫米波雷达 | 日K[➖ 0] | 周K[➖ 53.2] | 月K[➖ 36.8]
[18:02:24] 886077 合成生物 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:02:25] 885571 核电 | 日K[➖ 0] | 周K[➖ 49.2] | 月K[➖ 0]
[18:02:28] 885849 黑龙江自贸区 | 日K[➖ 0] | 周K[➖ 48.0] | 月K[➖ 0]
[18:02:33] 885827 横琴新区 | 日K[➖ 0] | 周K[➖ 44.0] | 月K[➖ 0]
[18:02:35] 886052 核污染防治 | 日K[➖ 0] | 周K[➖ 2.0] | 月K[➖ 0]
[18:02:36] 885456 互联网金融 | 日K[➖ 22.0] | 周K[➖ 83.2] | 月K[➖ 0]
[18:02:37] 885923 鸿蒙概念 | 日K[➖ 0] | 周K[➖ 52.8] | 月K[➖ 0]
[18:02:40] 885994 猴痘概念 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:02:45] 885967 化肥 | 日K[➖ 0] | 周K[➖ 78.8] | 月K[➖ 0]
[18:02:47] 885938 换电概念 | 日K[➖ 0] | 周K[➖ 76.0] | 月K[➖ 0]
[18:02:48] 885530 黄金概念 | 日K[➖ 0] | 周K[➖ 68.4] | 月K[➖ 0]
[18:02:49] 885903 环氧丙烷 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:02:52] 885806 华为概念 | 日K[➖ 0] | 周K[➖ 40.8] | 月K[➖ 0]
[18:02:58] 885843 华为海思概念股 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:02:59] 885980 华为鲲鹏 | 日K[➖ 0] | 周K[➖ 87.6] | 月K[➖ 0]
[18:03:01] 885982 华为欧拉 | 日K[➖ 39.2] | 周K[➖ 42.8] | 月K[➖ 0]
[18:03:02] 885834 华为汽车 | 日K[➖ 1.2] | 周K[➖ 60.4] | 月K[➖ 0]
[18:03:05] 886058 华为昇腾 | 日K[➖ 0] | 周K[➖ 34.0] | 月K[➖ 0]
[18:03:11] 885520 沪股通 | 日K[➖ 0] | 周K[➖ 38.0] | 月K[➖ 0]
[18:03:12] 885767 互联网保险 | 日K[➖ 32.8] | 周K[➖ 64.8] | 月K[➖ 21.2]
[18:03:14] 886051 减肥药 | 日K[🔥 0] | 周K[➖ 0] | 月K[➖ 0]
[18:03:15] 886008 减速器 | 日K[➖ 0] | 周K[➖ 12.8] | 月K[➖ 0]
[18:03:17] 885386 建筑节能 | 日K[➖ 0] | 周K[➖ 78.4] | 月K[➖ 0]
[18:03:23] 885981 家庭医生 | 日K[➖ 0] | 周K[➖ 34.4] | 月K[➖ 16.0]
[18:03:24] 885543 家用电器 | 日K[➖ 0] | 周K[➖ 68.0] | 月K[➖ 0]
[18:03:26] 885514 京津冀一体化 | 日K[➖ 0] | 周K[➖ 62.8] | 月K[➖ 0]
[18:03:27] 885961 净水概念 | 日K[➖ 0] | 周K[➖ 80.8] | 月K[➖ 0]
[18:03:29] 885972 金属回收 | 日K[➖ 0] | 周K[➖ 66.8] | 月K[➖ 0]
[18:03:35] 885971 金属铅 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:03:36] 885970 金属锌 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:03:38] 885517 机器人概念 | 日K[➖ 0] | 周K[➖ 47.6] | 月K[➖ 0]
[18:03:39] 886002 机器视觉 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:03:42] 885578 基因测序 | 日K[➖ 0] | 周K[➖ 48.0] | 月K[➖ 0]
[18:03:47] 886076 军工信息化 | 日K[➖ 0] | 周K[➖ 77.2] | 月K[➖ 0]
[18:03:48] 885743 军民融合 | 日K[➖ 2.8] | 周K[➖ 60.8] | 月K[🔥 0]
[18:03:50] 885587 举牌 | 日K[➖ 0] | 周K[➖ 71.2] | 月K[➖ 0]
[18:03:54] 885901 可降解塑料 | 日K[➖ 0] | 周K[➖ 74.4] | 月K[➖ 0]
[18:03:59] 886065 可控核聚变 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:04:01] 885748 可燃冰 | 日K[➖ 0] | 周K[➖ 87.6] | 月K[🔥 0]
[18:04:02] 886049 空间计算 | 日K[➖ 0] | 周K[➖ 35.2] | 月K[➖ 0]
[18:04:03] 886010 空气能热泵 | 日K[➖ 0] | 周K[➖ 62.0] | 月K[➖ 0]
[18:04:07] 885918 快手概念 | 日K[➖ 7.6] | 周K[➖ 29.2] | 月K[➖ 0]
[18:04:12] 885642 跨境电商 | 日K[➖ 0] | 周K[➖ 65.2] | 月K[➖ 0]
[18:04:13] 885854 垃圾分类 | 日K[➖ 0] | 周K[➖ 74.8] | 月K[➖ 0]
[18:04:15] 885502 冷链物流 | 日K[➖ 0] | 周K[➖ 62.4] | 月K[➖ 0]
[18:04:16] 885974 两轮车 | 日K[➖ 0] | 周K[➖ 87.6] | 月K[➖ 0]
[18:04:20] 885995 粮食概念 | 日K[➖ 0] | 周K[➖ 46.8] | 月K[➖ 30.0]
[18:04:24] 885730 量子科技 | 日K[➖ 0] | 周K[➖ 54.8] | 月K[➖ 0]
[18:04:26] 885863 磷化工 | 日K[➖ 0] | 周K[➖ 70.8] | 月K[➖ 0]
[18:04:27] 885879 流感 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:04:28] 885990 露营经济 | 日K[➖ 0] | 周K[➖ 76.4] | 月K[➖ 0]
[18:04:32] 885936 绿色电力 | 日K[➖ 0] | 周K[➖ 60.0] | 月K[➖ 0]
[18:04:37] 885505 生态农业 | 日K[➖ 0] | 周K[➖ 77.2] | 月K[➖ 0]
[18:04:38] 885497 旅游概念 | 日K[➖ 0] | 周K[➖ 65.6] | 月K[➖ 0]
[18:04:39] 885985 毛发医疗 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 4.4]
[18:04:40] 885749 蚂蚁集团概念 | 日K[➖ 28.0] | 周K[➖ 42.0] | 月K[➖ 0]
[18:04:44] 885398 煤化工概念 | 日K[➖ 0] | 周K[➖ 84.0] | 月K[🔥 0]
[18:04:49] 885914 煤炭概念 | 日K[➖ 0] | 周K[➖ 4.4] | 月K[➖ 0]
[18:04:50] 885898 免税店 | 日K[➖ 0] | 周K[➖ 64.4] | 月K[➖ 30.4]
[18:04:52] 885960 民爆概念 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:04:53] 885875 MiniLED | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:04:59] 885490 民营医院 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:05:08] 885928 钠离子电池 | 日K[➖ 0] | 周K[➖ 10.0] | 月K[➖ 0]
[18:05:10] 886047 脑机接口 | 日K[➖ 0] | 周K[➖ 59.2] | 月K[➖ 0]
[18:05:15] 885629 农村电商 | 日K[➖ 0] | 周K[➖ 19.2] | 月K[➖ 0]
[18:05:18] 885706 农机 | 日K[➖ 0] | 周K[➖ 71.6] | 月K[➖ 0]
[18:05:20] 885812 农业种植 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 29.2]
[18:05:21] 885738 OLED | 日K[➖ 1.6] | 周K[➖ 0] | 月K[➖ 0]
[18:05:22] 885959 PCB概念 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:05:27] 886063 PEEK材料 | 日K[➖ 0] | 周K[➖ 6.8] | 月K[➖ 0]
[18:05:31] 885937 培育钻石 | 日K[➖ 8.4] | 周K[➖ 0] | 月K[➖ 0]
[18:05:32] 886020 PET铜箔 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:05:33] 885780 啤酒概念 | 日K[➖ 0] | 周K[➖ 57.2] | 月K[➖ 0]
