
--- 🚀 新扫描启动: 08-25 17:53 ---
[17:53:30] 881121 半导体 | 日K[➖ 0] | 周K[➖ 56.4] | 月K[➖ 0]
[17:58:06] 881101 种植业与林业 | 日K[➖ 0] | 周K[➖ 41.6] | 月K[➖ 3.6]
[17:58:11] 886056 阿尔茨海默概念 | 日K[🔥 0] | 周K[➖ 0] | 月K[➖ 0]
[17:58:12] 886071 AI PC | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[17:58:13] 886070 AI手机 | 日K[➖ 35.2] | 周K[➖ 28.0] | 月K[➖ 0]
[17:58:14] 886074 AI语料 | 日K[➖ 11.2] | 周K[➖ 34.0] | 月K[➖ 0]
[17:58:18] 885611 阿里巴巴概念 | 日K[➖ 0] | 周K[➖ 38.0] | 月K[➖ 0]
[17:58:23] 885423 安防 | 日K[➖ 0] | 周K[➖ 12.0] | 月K[➖ 0]
[17:58:24] 885525 白酒概念 | 日K[➖ 0] | 周K[➖ 69.2] | 月K[➖ 0]
[17:58:25] 886053 BC电池 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[17:58:26] 885797 百度概念 | 日K[➖ 3.6] | 周K[➖ 38.8] | 月K[➖ 0]
[17:58:30] 885829 丙烯酸 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[17:58:35] 885825 冰雪产业 | 日K[➖ 0] | 周K[➖ 71.2] | 月K[➖ 0]
[17:58:36] 885997 比亚迪概念 | 日K[➖ 0] | 周K[➖ 50.0] | 月K[➖ 0]
[17:58:37] 885623 参股保险 | 日K[➖ 0] | 周K[➖ 26.4] | 月K[➖ 0]
[17:58:38] 885789 宁德时代概念 | 日K[➖ 0] | 周K[➖ 1.6] | 月K[➖ 0]
[17:58:43] 885620 参股券商 | 日K[➖ 0] | 周K[➖ 21.6] | 月K[➖ 0]
[17:58:48] 885640 草甘膦 | 日K[➖ 0] | 周K[➖ 72.4] | 月K[➖ 9.6]
[17:58:48] 885835 参股银行 | 日K[➖ 0] | 周K[➖ 81.2] | 月K[➖ 0]
[17:58:49] 886061 长安汽车概念 | 日K[➖ 0] | 周K[➖ 67.2] | 月K[➖ 0]
[17:58:50] 885832 长三角一体化 | 日K[➖ 0] | 周K[➖ 56.0] | 月K[➖ 0]
[17:58:55] 885996 超超临界发电 | 日K[➖ 6.8] | 周K[➖ 0] | 月K[➖ 0]
[17:59:01] 885886 超级电容 | 日K[➖ 15.6] | 周K[➖ 0] | 月K[➖ 0]
[17:59:01] 886038 超导概念 | 日K[➖ 6.0] | 周K[➖ 0] | 月K[➖ 0]
[17:59:01] 885761 超级品牌 | 日K[➖ 0] | 周K[➖ 36.4] | 月K[➖ 30.8]
[17:59:03] 885662 车联网(车路协同) | 日K[➖ 0] | 周K[➖ 57.2] | 月K[➖ 0]
[17:59:07] 886030 成飞概念 | 日K[➖ 0] | 周K[➖ 68.0] | 月K[➖ 0]
[17:59:12] 885461 充电桩 | 日K[➖ 0] | 周K[➖ 64.8] | 月K[➖ 0]
[17:59:13] 886012 宠物经济 | 日K[➖ 0] | 周K[➖ 66.4] | 月K[➖ 0]
[17:59:14] 885955 重组蛋白 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[17:59:16] 885935 抽水蓄能 | 日K[➖ 35.2] | 周K[➖ 0] | 月K[🔥 0]
[17:59:19] 885946 传感器 | 日K[➖ 0] | 周K[➖ 40.8] | 月K[➖ 0]
[17:59:24] 885413 创投 | 日K[➖ 0] | 周K[➖ 50.4] | 月K[➖ 0]
[17:59:25] 886015 创新药 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[17:59:26] 885921 储能 | 日K[➖ 0] | 周K[➖ 62.4] | 月K[➖ 0]
[17:59:28] 886042 存储芯片 | 日K[➖ 15.2] | 周K[➖ 0] | 月K[➖ 0]
[17:59:31] 885810 大豆 | 日K[➖ 0] | 周K[➖ 53.6] | 月K[➖ 28.0]
[17:59:36] 885566 大飞机 | 日K[➖ 13.2] | 周K[➖ 45.6] | 月K[➖ 0]
[17:59:37] 885904 代糖概念 | 日K[➖ 7.2] | 周K[➖ 56.0] | 月K[➖ 0]
[17:59:38] 885893 国家大基金持股 | 日K[🔥 33.6] | 周K[➖ 0] | 月K[➖ 0]
[17:59:40] 885710 锂电池概念 | 日K[➖ 0] | 周K[➖ 57.6] | 月K[➖ 0]
[17:59:43] 885737 电子竞技 | 日K[➖ 32.8] | 周K[➖ 35.2] | 月K[➖ 4.0]
[17:59:48] 885975 电子身份证 | 日K[➖ 0] | 周K[➖ 78.4] | 月K[➖ 0]
[17:59:49] 886067 低空经济 | 日K[➖ 0] | 周K[➖ 70.0] | 月K[➖ 0]
[17:59:50] 885908 第三代半导体 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[17:59:52] 885692 地下管网 | 日K[➖ 0] | 周K[➖ 79.6] | 月K[➖ 0]
[17:59:55] 885819 电力物联网 | 日K[➖ 0] | 周K[➖ 34.8] | 月K[➖ 0]
[18:00:01] 885944 动力电池回收 | 日K[➖ 0.8] | 周K[➖ 70.4] | 月K[➖ 0]
[18:00:01] 885957 东数西算(算力) | 日K[➖ 0] | 周K[➖ 41.6] | 月K[➖ 0]
[18:00:02] 885846 动物疫苗 | 日K[➖ 0] | 周K[➖ 6.8] | 月K[➖ 22.8]
[18:00:04] 885890 抖音概念(字节概念) | 日K[➖ 0] | 周K[➖ 26.0] | 月K[➖ 0]
[18:00:08] 886060 短剧游戏 | 日K[➖ 34.0] | 周K[➖ 41.6] | 月K[➖ 0]
[18:00:12] 885787 独角兽概念 | 日K[➖ 0] | 周K[➖ 49.6] | 月K[➖ 0]
[18:00:13] 886062 多模态AI | 日K[➖ 0] | 周K[➖ 36.4] | 月K[➖ 0]
[18:00:15] 885953 电子纸 | 日K[➖ 0.4] | 周K[➖ 57.2] | 月K[➖ 0]
[18:00:17] 885943 EDR概念 | 日K[➖ 0] | 周K[➖ 48.0] | 月K[➖ 0]
[18:00:20] 886039 ERP概念 | 日K[➖ 0] | 周K[➖ 89.2] | 月K[➖ 0]
[18:00:24] 885540 三胎概念 | 日K[➖ 0] | 周K[➖ 62.4] | 月K[➖ 0]
[18:00:25] 885861 ETC | 日K[➖ 3.6] | 周K[➖ 53.6] | 月K[➖ 0]
[18:00:27] 885964 俄乌冲突概念 | 日K[➖ 0] | 周K[➖ 85.6] | 月K[➖ 0]
[18:00:29] 885998 F5G概念 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:00:32] 885856 仿制药一致性评价 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:00:36] 886003 钒电池 | 日K[➖ 2.8] | 周K[➖ 61.2] | 月K[➖ 0]
[18:00:37] 886066 飞行汽车(eVTOL) | 日K[➖ 0] | 周K[➖ 72.0] | 月K[➖ 0]
[18:00:39] 885641 风电 | 日K[➖ 2.8] | 周K[➖ 53.2] | 月K[➖ 0]
[18:00:41] 885805 芬太尼 | 日K[➖ 0] | 周K[➖ 34.8] | 月K[➖ 0]
[18:00:44] 885551 氟化工概念 | 日K[🔥 5.6] | 周K[➖ 0] | 月K[➖ 0]
[18:00:48] 885617 福建自贸区 | 日K[➖ 0] | 周K[➖ 64.4] | 月K[➖ 0]
[18:00:49] 885786 富士康概念 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:00:51] 885909 辅助生殖 | 日K[➖ 0] | 周K[➖ 5.2] | 月K[➖ 0]
[18:00:53] 886006 钙钛矿电池 | 日K[➖ 0] | 周K[➖ 5.6] | 月K[➖ 0]
[18:00:56] 885989 肝炎概念 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:01:00] 885427 高端装备 | 日K[➖ 0] | 周K[➖ 53.6] | 月K[➖ 0]
[18:01:04] 885562 高铁 | 日K[➖ 0] | 周K[➖ 70.8] | 月K[➖ 0]
[18:01:05] 886001 高压快充 | 日K[➖ 0] | 周K[➖ 60.8] | 月K[➖ 0]
[18:01:10] 886018 高压氧舱 | 日K[➖ 0] | 周K[➖ 69.2] | 月K[➖ 0]
[18:01:11] 886033 共封装光学(CPO) | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:01:13] 885924 共同富裕示范区 | 日K[➖ 0] | 周K[➖ 63.6] | 月K[➖ 0]
[18:01:16] 885818 工业大麻 | 日K[➖ 0] | 周K[➖ 78.4] | 月K[➖ 0]
[18:01:17] 885783 工业互联网 | 日K[➖ 0] | 周K[➖ 50.8] | 月K[➖ 0]
[18:01:22] 885930 工业母机 | 日K[➖ 0] | 周K[➖ 44.0] | 月K[➖ 0]
[18:01:24] 885739 股权转让(并购重组) | 日K[➖ 0] | 周K[➖ 64.4] | 月K[➖ 0]
[18:01:25] 885734 广东自贸区 | 日K[➖ 0] | 周K[➖ 57.2] | 月K[➖ 0]
[18:01:28] 885531 光伏概念 | 日K[➖ 0] | 周K[➖ 52.4] | 月K[➖ 0]
[18:01:29] 886054 光刻机 | 日K[➖ 0.4] | 周K[➖ 0] | 月K[➖ 0]
[18:01:34] 885864 光刻胶 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:01:37] 885410 固废处理 | 日K[➖ 0] | 周K[➖ 78.0] | 月K[➖ 0]
[18:01:40] 885958 硅能源 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:01:41] 885844 国产操作系统 | 日K[➖ 0] | 周K[➖ 64.0] | 月K[➖ 0]
[18:01:46] 885700 军工 | 日K[➖ 0] | 周K[➖ 46.4] | 月K[➖ 0]
[18:01:49] 886021 国企改革 | 日K[➖ 0] | 周K[➖ 74.4] | 月K[➖ 0]
[18:01:49] 885977 国资云 | 日K[➖ 0] | 周K[➖ 17.6] | 月K[➖ 0]
[18:01:54] 886032 固态电池 | 日K[➖ 0] | 周K[➖ 4.8] | 月K[➖ 4.8]
[18:01:55] 885865 金属钴 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:02:02] 885747 共享单车 | 日K[➖ 6.4] | 周K[➖ 72.4] | 月K[➖ 0]
[18:02:09] 885426 海工装备 | 日K[➖ 0] | 周K[➖ 58.4] | 月K[➖ 0]
[18:02:12] 885894 海南自贸区 | 日K[➖ 0] | 周K[➖ 84.4] | 月K[➖ 7.2]
[18:02:16] 885884 航空发动机 | 日K[🔥 0] | 周K[➖ 15.6] | 月K[➖ 0]
[18:02:21] 885733 航运概念 | 日K[➖ 0] | 周K[➖ 15.2] | 月K[➖ 0]
[18:02:23] 886035 毫米波雷达 | 日K[➖ 0] | 周K[➖ 53.2] | 月K[➖ 36.8]
[18:02:24] 886077 合成生物 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:02:25] 885571 核电 | 日K[➖ 0] | 周K[➖ 49.2] | 月K[➖ 0]
[18:02:28] 885849 黑龙江自贸区 | 日K[➖ 0] | 周K[➖ 48.0] | 月K[➖ 0]
[18:02:33] 885827 横琴新区 | 日K[➖ 0] | 周K[➖ 44.0] | 月K[➖ 0]
[18:02:35] 886052 核污染防治 | 日K[➖ 0] | 周K[➖ 2.0] | 月K[➖ 0]
[18:02:36] 885456 互联网金融 | 日K[➖ 22.0] | 周K[➖ 83.2] | 月K[➖ 0]
[18:02:37] 885923 鸿蒙概念 | 日K[➖ 0] | 周K[➖ 52.8] | 月K[➖ 0]
[18:02:40] 885994 猴痘概念 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:02:45] 885967 化肥 | 日K[➖ 0] | 周K[➖ 78.8] | 月K[➖ 0]
[18:02:47] 885938 换电概念 | 日K[➖ 0] | 周K[➖ 76.0] | 月K[➖ 0]
[18:02:48] 885530 黄金概念 | 日K[➖ 0] | 周K[➖ 68.4] | 月K[➖ 0]
[18:02:49] 885903 环氧丙烷 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:02:52] 885806 华为概念 | 日K[➖ 0] | 周K[➖ 40.8] | 月K[➖ 0]
[18:02:58] 885843 华为海思概念股 | 日K[➖ 0] | 周K[➖ 0] | 月K[➖ 0]
[18:02:59] 885980 华为鲲鹏 | 日K[➖ 0] | 周K[➖ 87.6] | 月K[➖ 0]
[18:03:01] 885982 华为欧拉 | 日K[➖ 39.2] | 周K[➖ 42.8] | 月K[➖ 0]
[18:03:02] 885834 华为汽车 | 日K[➖ 1.2] | 周K[➖ 60.4] | 月K[➖ 0]
